_key,active,age,birth_city,birth_country,birth_date,birth_state,college,competitions,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,full_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,kalshi_id,last_name,metadata,metadata.channel_id,metadata.genius_id,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_off_2026_0,metadata.injury_override_off_2026_1,metadata.injury_override_post_2024_3,metadata.injury_override_pre_2025_0,metadata.injury_override_pre_2026_1,metadata.injury_override_pre_2026_2,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2020_10,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2021_3,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_13,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2024_6,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2025_1,metadata.injury_override_regular_2025_10,metadata.injury_override_regular_2025_11,metadata.injury_override_regular_2025_12,metadata.injury_override_regular_2025_15,metadata.injury_override_regular_2025_16,metadata.injury_override_regular_2025_2,metadata.injury_override_regular_2025_3,metadata.injury_override_regular_2025_4,metadata.injury_override_regular_2025_5,metadata.injury_override_regular_2025_6,metadata.injury_override_regular_2025_7,metadata.injury_override_regular_2025_8,metadata.injury_override_regular_2025_9,metadata.name,metadata.override_active,metadata.rookie_year,metadata.source_id,metadata.years_exp_shift,news_updated,number,oddsjam_id,opta_id,pandascore_id,player_id,player_shard,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,search_rank,sport,sportradar_id,stats_id,status,swish_id,team,team_abbr,team_changed_at,weight,yahoo_id,years_exp
101,false,32,,,1985-07-25,,Syracuse,[],,,11841,2677,"[""LB""]",Jameel,Jameel McClain,,#jameelmcclain-NFL-FA-53,"6'1""",,,,,,,McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,101,8,ILB,,,,,jameel,jameelmcclain,mcclain,9999999,nfl,94668ecc-58d9-4f95-bd55-4cab53670c8c,,Inactive,,,,,245,9068,8
1010,false,34,,,1986-01-10,,Houston,[],,,12989,13608,"[""DL"",""LB""]",Phillip,Phillip Hunt,,#philliphunt-NFL-FA-97,"6'1""",Dunbar (TX),,,,,,Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,1010,5,DE,,,7876,,phillip,philliphunt,hunt,9999999,nfl,bb749a3c-2147-4dc5-a864-0b26b87b018e,,Inactive,,,,,258,24785,11
1011,true,35,,,1986-05-22,,Penn State,[],,,12726,13610,"[""OL""]",A.Q.,A.Q. Shipley,00-0026950,#aqshipley-NFL-FA-62,73,Moon Area (PA),,,,,,Shipley,,1116852638529355776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606581332662,62,,,,1011,6,C,,,6215,,aq,aqshipley,shipley,9999999,nfl,f7163bae-d4da-4d38-847e-e0315605b9d0,,Inactive,,,,,307,9490,13
1012,false,35,,,1989-05-07,,USC,[],,,16537,13612,"[""DL""]",Christian,Christian Tupou,,#christiantupou-NFL-FA-0,74,Grant (CA),,,,,,Tupou,,1202954205766090752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,0,,,,1012,5,DE,,,,,christian,christiantupou,tupou,9999999,nfl,b75b8d79-e040-4df1-a6b3-2ff10b99a796,,Inactive,,,,,290,,12
1013,false,33,,,1987-08-10,,Ohio State,[],,,13495,13618,"[""DL""]",Doug,Doug Worthington,,#dougworthington-NFL-FA-92,"6'5""",St. Francis (NY),,,,,,Worthington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,1013,6,DT,,,6821,,doug,dougworthington,worthington,9999999,nfl,39a47e1c-6113-436f-8f8c-0400beb8d68a,,Inactive,,,,,292,24217,10
1014,false,34,,,1986-07-24,,Boise State,[],,,13538,13653,"[""RB"",""TE""]",Richie,Richie Brockel,,#richiebrockel-NFL-FA-47,"6'1""",Greenway (AZ),,,,,,Brockel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,1014,4,TE,,,,,richie,richiebrockel,brockel,9999999,nfl,ee2649fa-62cf-4832-bf67-fc11d3681fef,303964,Inactive,,,,,255,24431,10
1015,false,31,,,1986-03-03,,Washington State,[],,,11517,13661,"[""RB""]",Jed,Jed Collins,,#jedcollins-NFL-FA-45,"6'1""",,,,,,,Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,1015,5,FB,,,,,jed,jedcollins,collins,9999999,nfl,67f976f5-1f14-4f5f-a5f1-917cf6c3b807,272731,Inactive,,,,,249,,4
1016,false,35,,,1985-05-13,,California,[],,,11692,13662,"[""OL""]",Brian,Brian De La Puente,,#briandelapuente-NFL-FA-60,"6'3""",San Clemente (CA),,,,,,De La Puente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,1016,5,C,,,7263,,brian,briandelapuente,delapuente,9999999,nfl,5d88da46-b21f-4af6-ae0d-4f7f6c569530,,Inactive,,,,,306,,12
1017,false,37,,,1984-08-30,,Southern Mississippi,[],,,16695,13664,"[""DL""]",Tom,Tom Johnson,00-0024030,#tomjohnson-NFL-FA-0,75,Moss Point (MS),,,,,,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586628360989,0,,,,1017,0,DT,,,9761,6514,tom,tomjohnson,johnson,9999999,nfl,ee305db3-cdaf-4eb3-b950-7146d51eac34,248299,Injured Reserve,,,,,288,24778,16
1018,false,31,,,1986-02-21,,Delaware,[],,,13018,13681,"[""DL""]",Ronald,Ronald Talley,,#ronaldtalley-NFL-FA-72,"6'3""",,,,,,,Talley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,1018,8,DE,,,,,ronald,ronaldtalley,talley,9999999,nfl,b374bf79-e8f5-4ce5-9cc1-0ebeb6d491c4,,Inactive,,,,,286,9581,4
1019,false,36,,,1984-08-02,,Oregon State,[],,,9250,13687,"[""DB""]",Brandon,Brandon Browner,,#brandonbrowner-NFL-FA-39,"6'4""",James Monroe (CA),,,,,,Browner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,1019,2,CB,,,4459,6512,brandon,brandonbrowner,browner,9999999,nfl,0ad26168-7f0e-4eb9-8776-7166b5ebab16,,Inactive,,,,,221,24775,15
102,false,41,,,1979-04-29,,Nebraska,[],,,4680,2695,"[""K""]",Josh,Josh Brown,,#joshbrown-NFL-FA-3,"6'0""",Foyil (OK),,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,102,5,K,,,3132,525,josh,joshbrown,brown,9999999,nfl,f5e1f35d-9f17-4890-964c-396e76ae0d31,184747,Inactive,,,,,202,6558,17
1020,false,32,,,1989-06-20,,Ohio State,[],,,14851,13693,"[""WR""]",Terrelle,Terrelle Pryor,00-0028825,#terrellepryor-NFL-FA-10,76,Jeannette (PA),,,,,,Pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575246615206,10,,,,1020,7,WR,,,7640,6757,terrelle,terrellepryor,pryor,9999999,nfl,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,457289,Inactive,,,,,228,25681,11
1021,false,28,,,1990-07-09,,North Carolina,[],,,14853,13696,"[""LB""]",Michael,Michael McAdoo,,#michaelmcadoo-NFL-FA-66,"6'7""",,,,,,,McAdoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,1021,1,ILB,,,7954,,michael,michaelmcadoo,mcadoo,9999999,nfl,f521f50a-4073-4bc4-86e0-bfc6c0282f6b,,Inactive,,,,,245,25683,3
10210,true,26,,,2000-02-24,,Alabama,[],5,TE,,24421,"[""TE""]",Cameron,Cameron Latu,,#cameronlatu-NFL-PHI-36,77,Olympus (UT),,,,,4fd6966e-f7b6-42c0-9a2c-bc8be9c28137,Latu,,1113708874650644480,1081521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1770920707786,36,338B1EFE4E81,,,10210,4,TE,,,16931,,cameron,cameronlatu,latu,629,nfl,3763a2ec-ee98-4cf4-9aa7-ee626057c56f,,Active,1125739,PHI,,,244,,3
10211,true,23,,,1999-09-14,,Appalachian State,[],,,,,"[""RB""]",Camerun,Camerun Peoples,,#camerunpeoples-NFL-FA-32,73,Clay Central (AL),,,,,,Peoples,,1116852638734876672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026f072d-c33d-4663-a2f1-4deb706a39e6,,1693069512469,32,,,,10211,2,RB,,,16927,,camerun,camerunpeoples,peoples,292,nfl,aa28aab0-ec64-11ed-b34e-33ef114ed931,,Active,1119185,,,,217,,1
10212,true,26,,,1999-09-08,,Cincinnati,[],3,TE,,24375,"[""TE""]",Josh,Josh Whyle,,#joshwhyle-NFL-GB-81,79,La Salle (OH),,,,,af875fc8-ef0a-47bc-a470-3bd02ce6135e,Whyle,,1113708832116207616,1079225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1786481443031,81,9E50F7704FF1,,,10212,9,TE,,,16866,,josh,joshwhyle,whyle,394,nfl,601467c7-b593-472d-a147-b8e7bfdbe990,,Active,1107037,GB,,,248,,3
10213,true,25,,,2001-03-08,,Cincinnati,[],1,RWR,,24177,"[""WR""]",Tre,Tre Tucker,,#tretucker-NFL-LV-1,68,Cuyahoga Valley Christian Academy (OH),,,,,11cb88bb-cbd6-4b21-9ac3-7ff075c7d4cf,Tucker,,1113708771403657217,1399027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1787112651430,1,5B9229CE1E0B,,,10213,7,WR,,,16694,,tre,tretucker,tucker,188,nfl,9beb72c5-5a81-413c-ada3-ff4854c95cf4,,Active,1164979,LV,,,182,,3
10214,true,25,,,2001-02-03,,Clemson,[],4,TE,,24148,"[""TE""]",Davis,Davis Allen,,#davisallen-NFL-LAR-87,78,Calhoun (GA),Quadriceps,,,Questionable,b9a2ce47-daae-4a85-8faf-ba9392b7ce7f,Allen,,1113708701136482304,1399236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1787105450642,87,EECEBC603FD4,,,10214,2,TE,,,17030,,davis,davisallen,allen,334,nfl,02a77d8c-3b89-4a61-86a2-0c005c1e589a,,Active,1161664,LAR,,,253,,3
10215,true,27,,,1999-03-10,,Fresno State,[],4,QB,,23249,"[""QB""]",Jake,Jake Haener,,#jakehaener-NFL-NYG-14,73,Monte Vista (CA),,,,,cc58630f-1a70-48d0-9bd2-f62fffc364f1,Haener,,1113708684837416960,1005706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1787007037025,14,C316109EF9FD,,,10215,9,QB,,,16912,,jake,jakehaener,haener,520,nfl,70376919-8220-4128-a089-72d5b10f2346,,Active,1049254,NYG,,,200,,3
10216,true,26,,,2000-03-03,,Georgia,[],,,,24373,"[""RB""]",Kenny,Kenny McIntosh,,#kennymcintosh-NFL-FA-25,72,University School (FL),,,,,45ca7d10-ca50-40bb-a2d6-eff1fe0776fb,McIntosh,,1113708723739586560,1399278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1785724861096,25,38E8C0B4D8CF,,,10216,0,RB,,,17002,,kenny,kennymcintosh,mcintosh,999,nfl,9956eabc-16da-4a1c-ab80-fe0910bcaa12,,Active,1172050,,,,204,,3
10217,true,27,,,1999-03-23,,Houston,[],,,,24170,"[""QB""]",Clayton,Clayton Tune,,#claytontune-NFL-FA-6,75,Hebron (TX),,,,,d878c89b-dafd-411a-9778-c2519d6d925e,Tune,,1113708848578850817,1080877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1767807057135,6,4EB7FDA9440E,,,10217,8,QB,,,16913,,clayton,claytontune,tune,999,nfl,b2810d1e-3ea7-4907-bb34-93b40e893c08,,Active,1109133,,,,220,,3
10218,true,26,,,2000-06-01,,Iowa State,[],3,RWR,,24347,"[""WR""]",Xavier,Xavier Hutchinson,,#xavierhutchinson-NFL-HOU-19,75,Bartram Trail (FL),,,,,4c3bfb34-7345-40b7-840e-88487ed6405e,Hutchinson,,1113708787660779521,1399255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1787331037280,19,A276263B392A,,,10218,8,WR,,,16932,,xavier,xavierhutchinson,hutchinson,343,nfl,aed98af2-b228-4b74-a804-2d210bd11122,,Active,1213636,HOU,,,210,,3
10219,true,26,,,1999-09-26,,Kentucky,[],2,RB,,23237,"[""RB""]",Chris,Chris Rodriguez,,#chrisrodriguez-NFL-JAX-24,71,Ola (GA),,,,,679d8532-e29c-410d-a34b-3d13de37a65d,Rodriguez,,1113708699303571456,1077995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1786653340003,24,BB9F549BE535,,,10219,8,RB,,,16933,,chris,chrisrodriguez,rodriguez,138,nfl,ae5c4758-cb53-4f17-8763-b91381036af3,,Active,1113403,JAX,,,224,,3
1022,false,32,,,1987-11-19,,Duke,[],,,13606,13697,"[""QB""]",Thaddeus,Thaddeus Lewis,,#thaddeuslewis-NFL-FA-7,"6'2""",Hialeah-Miami Lakes (FL),,,,,,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,1022,4,QB,,,6847,6083,thaddeus,thaddeuslewis,lewis,9999999,nfl,bd1016ca-9683-4f4a-afdc-d07a3e03f057,334032,Inactive,,,,,219,24311,10
10220,true,27,,,1999-06-22,,Miami (FL),[],3,TE,,23143,"[""TE""]",Will,Will Mallory,,#willmallory-NFL-IND-86,76,Providence School (FL),,,,,79b7a79c-25b3-42bd-a520-1036fce116c6,Mallory,,1113708777388929024,1073514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1780529160072,86,01DD05A39F76,,,10220,0,TE,,,17014,,will,willmallory,mallory,358,nfl,5d4a5e4f-7c74-4b4c-b8e5-33bb831e3057,,Active,1121873,IND,,,239,,3
10221,true,26,,,2000-01-28,,Michigan,[],8,RWR,,22627,"[""WR""]",Ronnie,Ronnie Bell,,#ronniebell-NFL-NO-11,72,Park Hill (MO),,,,,304c4120-1cca-4171-bedb-094b9b46eac6,Bell,,1113708879033692161,1080599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1787096751434,11,65B7D38E6C0D,,,10221,5,WR,,,16843,,ronnie,ronniebell,bell,327,nfl,ba06804a-b84c-408a-8ef6-5226d8424479,,Active,1130213,NO,,,192,,3
10222,true,26,,,2000-04-28,,Michigan State,[],2,SWR,,23233,"[""WR""]",Jayden,Jayden Reed,,#jaydenreed-NFL-GB-11,71,Naperville Central (IL),,,,,510e8ca5-a6b7-4af5-b4d7-e3cee687dfe7,Reed,,1113708797341233152,1074928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1786686650319,11,1EDF7EE1BA66,,,10222,5,WR,,,16977,,jayden,jaydenreed,reed,104,nfl,23a306bc-5f77-4574-a575-bd599f243185,,Active,1123398,GB,,,187,,3
10223,true,26,,,1999-11-04,,Oklahoma,[],6,RB,,23195,"[""RB""]",Eric,Eric Gray,,#ericgray-NFL-NYG-20,70,Lausanne Collegiate School (TN),,,,,ff61e732-2015-4fbe-9d40-336a4494cfbe,Gray,,1113708681125457921,1399234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1780024825899,20,95DB319D1946,,,10223,9,RB,,,16970,,eric,ericgray,gray,352,nfl,dcc536c1-36f2-4e34-8028-ccf32d930018,,Active,1161798,NYG,,,211,,3
10224,true,26,,,1999-11-11,,Oklahoma,[],5,TE,,24149,"[""TE""]",Brayden,Brayden Willis,,#braydenwillis-NFL-SF-9,76,Martin (TX),,,,,a6acffe0-8382-493a-9d22-afec442d3ed2,Willis,,1113708876831682560,1076577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1768433758233,9,64A3B77504FA,,,10224,7,TE,,,17010,,brayden,braydenwillis,willis,999,nfl,733cc366-53e3-4703-a2fc-2aa860272cf3,,Active,1125589,SF,,,240,,3
10225,true,25,,,2001-04-20,,Ole Miss,[],5,RWR,,23161,"[""WR""]",Jonathan,Jonathan Mingo,,#jonathanmingo-NFL-DAL-81,74,Brandon (MS),,,,,2d3ebc3d-9f72-4af2-ac1f-99d0381b563a,Mingo,,1113708883773255680,1398969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1785362413055,81,AE5398B86CF3,,,10225,5,WR,,,16937,,jonathan,jonathanmingo,mingo,482,nfl,6cf0c82d-87e4-4cfc-8475-77667ed92796,,Active,1176782,DAL,,,225,,3
10226,true,26,,,1999-10-15,,Princeton,[],3,SWR,,24119,"[""WR""]",Andrei,Andrei Iosivas,,#andreiiosivas-NFL-CIN-80,75,Punahou School (HI),,,,,2e868b75-927e-47b6-b8e4-fa34f556958d,Iosivas,,1113708804140199936,1399256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1786675847917,80,9128D6883711,,,10226,9,WR,,,16965,,andrei,andreiiosivas,iosivas,499,nfl,30c0df5e-bb77-4eee-8390-8fc13844e1c3,,Active,1124851,CIN,,,210,,3
10227,true,26,,,2000-06-15,,Purdue,[],3,TE,,24151,"[""TE""]",Payne,Payne Durham,,#paynedurham-NFL-TB-87,77,Peachtree Ridge (GA),,,,,5ae241b4-4397-4677-8f06-1beb0eeceffc,Durham,,1113708732816060416,1074035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1780442450327,87,FA59B5C85CDD,,,10227,8,TE,,,16720,,payne,paynedurham,durham,368,nfl,c4a8b4c9-5db8-4187-852b-9557bef8724e,,Active,1130260,TB,,,255,,3
10228,true,27,,,1998-10-29,,Purdue,[],7,SWR,,24122,"[""WR""]",Charlie,Charlie Jones,,#charliejones-NFL-CIN-15,72,Deerfield (IL),,,,,81b46731-4f01-4a85-92d4-db08eed64c83,Jones,,1113708807826993153,1008904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1785368714100,15,93C3CA80DA71,,,10228,3,WR,,,16719,,charlie,charliejones,jones,387,nfl,c634c231-61fb-4725-8533-2cce14bfebbf,,Active,1067132,CIN,,,190,,3
